Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,BallsBowled,RunsConceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
172,Pradeep Sangwan,KKR,IND,4,2,200,1,0,4,24,51,12.8,0,0,0,2,22
173,Pragyan Ojha,MI,IND,1,3,33.3,0,0,1,290,353,7.3,15,2,1,15,26
174,Prasanth Parameswaran,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,27
175,Praveen Kumar,KXI,IND,47,39,120.5,3,3,24,338,373,6.6,12,1,0.5,15,26
176,Pravin Tambe,RR,IND,3,6,50,0,0,3,66,88,8,1,0,0,3,41
177,Quinton de Kock,SH,IND,6,15,40,1,0,4,0,0,-,0,4,0.5,3,20
178,R Karthikeyan,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,20
179,Rahul Dravid,RR,IND,471,425,110.8,64,5,65,0,0,-,0,3,1.5,18,40
180,Rahul Sharma,PWI,IND,11,17,64.7,1,0,10,246,281,6.9,9,2,0,11,26
181,Rahul Shukla,RR,IND,1,2,50,0,0,1,48,79,9.9,3,2,0.5,3,22
182,Raiphi Gomez,PWI,IND,4,1,400,1,0,4,6,5,5,0,2,0,2,27
183,Rajagopal Sathish,KXI,IND,109,77,141.6,9,5,27,24,51,12.8,0,0,1,9,32
184,Rajat Bhatia,KKR,IND,99,80,123.8,8,3,26,263,332,7.6,11,0,0,15,33
185,Ravi Rampaul,BRC,IND,38,37,102.7,3,1,23,226,261,6.9,13,4,0,10,28
186,Ravichandran Ashwin,CSK,IND,26,31,83.9,4,0,11,330,368,6.7,15,4,0.5,17,26
187,Ravindra Jadeja,CSK,IND,201,133,151.1,17,6,38,247,304,7.4,13,6,1.5,17,24
188,Ricky Ponting,MI,AUS,52,75,69.3,3,1,28,0,0,-,0,2,0,6,38
189,Rishi Dhawan,MI,IND,18,18,100,3,0,14,84,103,7.4,1,3,1,5,23
190,Robin Uthappa,PWI,IND,434,371,117,42,12,75,0,0,-,0,8,1.3,16,27
191,Roelof van der Merwe,DD,SA,22,25,88,2,0,14,66,71,6.5,3,0,0,3,28
192,Rohit Sharma,MI,IND,536,404,132.7,35,28,79,8,6,4.5,0,6,0.5,18,25
193,Ronit More,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,21
194,Ross Taylor,PWI,NZ,63,76,82.9,2,1,19,0,0,-,0,2,0,5,29
195,Royston Dias,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,20
196,RP Singh,BRC,IND,0,0,-,0,0,0,239,335,8.4,13,4,1,11,27
197,Ryan Harris,KXI,IND,2,5,40,0,0,2,72,72,6,1,0,0,3,33
198,Ryan McLaren,KKR,IND,3,6,50,0,0,2,42,94,13.4,3,1,0,2,30
199,Ryan ten Doeschate,KKR,IRL,85,63,134.9,9,2,42,18,24,8,0,1,0,4,32
200,Sachin Baby,RR,IND,3,7,42.9,0,0,3,0,0,-,0,2,0.3,4,24
201,Sachin Rana,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28
202,Sachin Tendulkar,MI,IND,287,231,124.2,38,5,54,0,0,-,0,4,1,14,39
203,Sachithra Senanayake,KKR,SL,10,17,58.8,0,0,7,192,209,6.5,9,2,0,8,28
204,Samuel Badree,RR,IND,0,0,-,0,0,0,24,34,8.5,0,0,0,1,32
205,Sandeep Sharma,KXI,IND,0,1,0,0,0,0,96,119,7.4,8,0,0,4,20
206,Sandeep Warrier,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22
207,Sanju Samson,RR,IND,206,178,115.7,19,5,63,0,0,-,0,13,2.5,11,18
208,Sarabjit Ladda,KKR,IND,0,0,-,0,0,0,12,18,9,1,0,0,1,26
209,Saurabh Tiwary,BRC,IND,109,106,102.8,4,4,52,0,0,-,0,2,0,9,23
210,Shadab Jakati,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,32
211,Shahbaz Nadeem,DD,IND,14,27,51.9,1,0,6,264,259,5.9,9,5,1,12,23
212,Shakib Al Hasan,KKR,BAN,0,0,-,0,0,0,0,0,-,0,0,0,0,26
213,Shami Ahmed,KKR,IND,5,10,50,0,0,5,54,78,8.7,1,0,0.5,3,23
214,Shane Watson,RR,AUS,543,380,142.9,59,22,101,250,298,7.2,13,6,0.3,16,32
215,Shaun Marsh,KXI,AUS,300,249,120.5,39,4,77,0,0,-,0,3,0,8,29
216,Shaun Tait,RR,AUS,1,3,33.3,0,0,1,60,98,9.8,1,0,0,3,30
217,Sheldon Jackson,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26
218,Shikhar Dhawan,SH,IND,311,253,122.9,37,5,73,0,0,-,0,3,0,10,27
219,Shreevats Goswami,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
220,Shrikant Wagh,PWI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
221,Siddarth Kaul,DD,IND,7,9,77.8,0,0,7,131,170,7.8,4,1,0,6,22
222,Siddharth Chitnis,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26
223,Siddharth Trivedi,RR,IND,3,7,42.9,0,0,3,359,410,6.9,12,4,0,17,30
224,Sreenath Aravind,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,29
225,Sreesanth,RR,IND,1,4,25,0,0,1,130,163,7.5,5,0,0,7,30
226,Srikkanth Anirudha,CSK,IND,0,2,0,0,0,0,0,0,-,0,0,0,1,26
227,Steven Smith,PWI,AUS,159,132,120.5,15,4,41,0,0,-,0,4,0,7,23
228,Stuart Binny,RR,IND,293,199,147.2,25,12,41,144,162,6.8,6,3,0.3,17,29
229,Subramaniam Badrinath,CSK,IND,124,118,105.1,11,0,34,0,0,-,0,1,1,17,32
230,Sudeep Tyagi,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25
231,Sujit Nayak,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23
